name,address,lat,lng,rating,reviews,location_name,fsq_id
Fumes,"MMG Sangrahalaya Marg, Dadar West, Mumbai, Mahārāshtra",0,0,,0,Dadar,
The Rolling Pin,,0,0,,0,Lower Parel,
SpiceKlub,"8A, Janta Industrial Estate, Opposite Phoenix Mills, Senapati Bapat Road (Lower Parel), Mumbai, Mahārāshtra",0,0,,0,Lower Parel,
Quattro Ristorante,"7, Janta Industrial Estate, Opp. High Street Phoenix (Senapati Bapat Marg, Lower Parel), Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
Barista,"Phoenix Mills, Lower Parel, Mumbai, Mahārāshtra",0,0,,0,Lower Parel,
Ithaka,"Above Riso (Opposite Phoenix Mills, lower Parel), Mumbai, Mahārāshtra",0,0,,0,Lower Parel,
ZARA,"Palladium Mall , High Street Phoenix (Phoenix Mills Compound, Lower Parel), Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
Skyzone Mall,"Senapati Bapat Marg (Lower Parel), Mumbai, Mahārāshtra",0,0,,0,Lower Parel,
The Irish House,"High Street Phoenix (Lower Parel, Senapati Bapat Marg), Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
Burberry,"Palladium Mall, 462 Senapati Bapat Marg, Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
The Collective,"The Collective, Palladium Mall, Level 2 & 3, High Street Phoenix (Senapati Bapat Marg, Lower Parel), Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
Riso,"Gala 1, Sb Road, Lower Parel, Mumbai, Mahārāshtra",0,0,,0,Lower Parel,
Punjab Grill,"Palladium Mall (Senapati Bapat Road), Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
Diesel Store,"G14-15, Palladium, High Street Pheonix, (642 Senapati Bapat Marg), Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
ALDO,"Palladium Mall, Pheonix Mill Compound (Senapati Bapat Marg, Lower Parel (West)), Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
Gelato Italiano,"Ground Floor, Skyzone, High Street Phoenix (Senapati Bapat Road, Lower Parel), Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
Palladium,"High Street Phoenix, (Senapati Bapat Marg,), Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
The Coffee Bean & Tea Leaf,"G-22/23, Skyzone,Phoenix Mills Compound, Lower Parel. (High Street Phoenix, Lower Parel), Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
Chemistry,"Palladium Mall, Third Level, High Street Phoenix, 462, Senapati Bapat Marg, Lower Parel West, Mumbai, Mahārāshtra",0,0,,0,Lower Parel,
High Street Phoenix,"Senapati Bapat Marg (Lower Parel), Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
Gajalee Sea Food @ Phoenix Mills,,0,0,,0,Lower Parel,
Burger King,"High Street Pheonix (Lower Parel), Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
Om Bookshop,"Gr Floor - Grand Galleria (Phoenix Mills), Mumbai, Mahārāshtra",0,0,,0,Lower Parel,
Tryst,"1st Floor, High Street Phoenix (Senapati Bapat Marg, Lower Parel,), Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
Canvas Laugh Club,"Palladium, 3rd Flr., High Street Phoenix (Senapati Bapat Marg, Lower Parel), Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
British Brewing Company,"4th Floor, Palladium, Phoenix (Lower Parel), Mumbai, Mahārāshtra",0,0,,0,Lower Parel,
Smoke House Deli,"Shop No. C-90G, Main Courtyard, High Street Phoenix, Phoenix Mills Compound (Tulsi Pipe Rd), Mumbai 400013, Mahārāshtra",0,0,,0,Lower Parel,
